"","home","away","yh","ya"
"1","Bodø/Glimt","Lillestrøm",3,1
"2","Molde","Sandefjord Fotball",5,0
"3","Odd","Haugesund",1,2
"4","Start","Tromsø",4,1
"5","Strømsgodset","Stabæk",2,2
"6","Sarpsborg 08","Rosenborg",1,0
"7","Kristiansund","Vålerenga",0,1
"8","Ranheim TF","Brann",0,2
"9","Lillestrøm","Sarpsborg 08",2,2
"10","Rosenborg","Kristiansund",2,2
"11","Haugesund","Molde",0,1
"12","Brann","Bodø/Glimt",2,0
"13","Vålerenga","Odd",2,1
"14","Sandefjord Fotball","Ranheim TF",1,2
"15","Tromsø","Strømsgodset",3,1
"16","Stabæk","Start",1,1
"17","Bodø/Glimt","Haugesund",0,3
"18","Kristiansund","Lillestrøm",2,1
"19","Start","Sandefjord Fotball",1,4
"20","Strømsgodset","Brann",1,1
"21","Ranheim TF","Stabæk",4,1
"22","Sarpsborg 08","Vålerenga",3,0
"23","Molde","Tromsø",2,1
"24","Odd","Rosenborg",1,1
"25","Vålerenga","Strømsgodset",1,4
"26","Haugesund","Sarpsborg 08",1,1
"27","Tromsø","Ranheim TF",4,0
"28","Odd","Bodø/Glimt",1,0
"29","Brann","Kristiansund",1,0
"30","Sandefjord Fotball","Stabæk",1,1
"31","Rosenborg","Molde",4,0
"32","Lillestrøm","Start",1,0
"33","Start","Vålerenga",1,6
"34","Strømsgodset","Odd",3,0
"35","Ranheim TF","Haugesund",4,2
"36","Sandefjord Fotball","Kristiansund",3,3
"37","Molde","Lillestrøm",2,1
"38","Stabæk","Tromsø",1,1
"39","Sarpsborg 08","Brann",1,2
"40","Bodø/Glimt","Rosenborg",0,1
"41","Brann","Stabæk",3,0
"42","Haugesund","Strømsgodset",1,0
"43","Kristiansund","Bodø/Glimt",1,1
"44","Lillestrøm","Ranheim TF",0,1
"45","Rosenborg","Start",2,0
"46","Tromsø","Sandefjord Fotball",4,1
"47","Vålerenga","Molde",0,0
