"","home","away","yh","ya"
"1","Rosenborg","Viking",1,0
"2","Aalesund","Vålerenga",0,1
"3","HamKam","Sandefjord Fotball",2,0
"4","Sarpsborg 08","Bodø/Glimt",0,2
"5","Stabæk","Odd",0,0
"6","Tromsø","Molde",1,0
"7","Brann","Haugesund",3,0
"8","Lillestrøm","Strømsgodset",4,3
"9","Viking","Lillestrøm",2,0
"10","Bodø/Glimt","Stabæk",4,0
"11","Haugesund","HamKam",3,2
"12","Molde","Rosenborg",1,1
"13","Odd","Brann",2,0
"14","Sandefjord Fotball","Tromsø",0,0
"15","Strømsgodset","Aalesund",1,0
"16","Vålerenga","Sarpsborg 08",0,2
"17","Brann","Vålerenga",3,1
"18","Aalesund","Bodø/Glimt",0,3
"19","HamKam","Strømsgodset",2,0
"20","Rosenborg","Sandefjord Fotball",1,1
"21","Sarpsborg 08","Odd",0,0
"22","Stabæk","Haugesund",3,0
"23","Tromsø","Viking",1,1
"24","Lillestrøm","Molde",2,1
"25","Bodø/Glimt","Brann",2,2
"26","Haugesund","Sarpsborg 08",0,0
"27","Molde","Stabæk",2,3
"28","Sandefjord Fotball","Aalesund",4,0
"29","Strømsgodset","Tromsø",0,1
"30","Viking","HamKam",7,3
"31","Odd","Rosenborg",0,0
"32","Vålerenga","Lillestrøm",3,4
"33","Rosenborg","Vålerenga",1,3
"34","Aalesund","Haugesund",0,0
"35","HamKam","Molde",0,4
"36","Stabæk","Sarpsborg 08",1,1
"37","Tromsø","Odd",0,1
"38","Viking","Strømsgodset",1,1
"39","Lillestrøm","Bodø/Glimt",1,2
"40","Brann","Sandefjord Fotball",0,0
"41","Odd","Lillestrøm",0,1
"42","Bodø/Glimt","Rosenborg",3,2
"43","HamKam","Tromsø",1,2
"44","Molde","Strømsgodset",3,2
"45","Sandefjord Fotball","Viking",1,2
"46","Sarpsborg 08","Brann",2,1
"47","Stabæk","Aalesund",1,0
"48","Haugesund","Vålerenga",1,1
"49","Aalesund","Molde",3,1
"50","Brann","Stabæk",4,1
"51","Lillestrøm","Sarpsborg 08",1,2
"52","Rosenborg","Haugesund",1,0
"53","Strømsgodset","Sandefjord Fotball",1,0
"54","Tromsø","Bodø/Glimt",2,3
"55","Viking","Odd",3,2
"56","Vålerenga","HamKam",3,0
"57","Bodø/Glimt","Viking",5,1
"58","Brann","Rosenborg",3,1
"59","Haugesund","Tromsø",1,2
"60","Molde","Sandefjord Fotball",5,0
"61","Odd","Strømsgodset",1,1
"62","Sarpsborg 08","Aalesund",3,1
"63","Stabæk","Vålerenga",2,1
"64","HamKam","Lillestrøm",0,0
"65","Aalesund","Brann",1,3
"66","Lillestrøm","Stabæk",3,1
"67","Rosenborg","HamKam",4,0
"68","Sandefjord Fotball","Odd",4,1
"69","Strømsgodset","Haugesund",1,2
"70","Tromsø","Sarpsborg 08",2,1
"71","Vålerenga","Bodø/Glimt",1,3
"72","Viking","Molde",3,4
