"","home","away","yh","ya"
"137","Brann","Kristiansund",2,1
"138","Tromsø","Fredrikstad",3,0
"139","Sandefjord Fotball","Strømsgodset",2,2
"140","Haugesund","HamKam",0,1
"141","Viking","Bodø/Glimt",1,1
"142","KFUM","Rosenborg",1,0
"143","Odd","Sarpsborg 08",1,1
"144","Lillestrøm","Molde",1,2
"145","Bodø/Glimt","Sandefjord Fotball",1,1
"146","Strømsgodset","Lillestrøm",3,2
"147","Fredrikstad","Brann",0,4
"148","HamKam","Odd",1,0
"149","KFUM","Tromsø",0,1
"150","Sarpsborg 08","Haugesund",2,2
"151","Rosenborg","Viking",2,1
"152","Kristiansund","Molde",0,4
"153","Bodø/Glimt","Sarpsborg 08",6,0
"154","Lillestrøm","Tromsø",0,1
"155","Haugesund","Fredrikstad",1,0
"156","Molde","HamKam",3,0
"157","Sandefjord Fotball","Kristiansund",1,0
"158","Viking","Strømsgodset",5,2
"159","Odd","Rosenborg",1,3
"160","Brann","KFUM",2,0
"161","KFUM","Lillestrøm",2,0
"162","Fredrikstad","Odd",2,0
"163","HamKam","Sandefjord Fotball",1,1
"164","Kristiansund","Haugesund",2,2
"165","Rosenborg","Molde",2,1
"166","Strømsgodset","Bodø/Glimt",0,1
"167","Tromsø","Viking",2,2
"168","Brann","Sarpsborg 08",1,3
"169","Bodø/Glimt","HamKam",3,0
"170","Viking","KFUM",1,0
"171","Molde","Fredrikstad",6,1
"172","Odd","Tromsø",1,0
"173","Haugesund","Strømsgodset",0,0
"174","Sandefjord Fotball","Brann",2,2
"175","Sarpsborg 08","Kristiansund",0,2
"176","Lillestrøm","Rosenborg",1,1
"177","Strømsgodset","Sarpsborg 08",2,1
"178","HamKam","Lillestrøm",5,0
"179","Brann","Bodø/Glimt",4,1
"180","Kristiansund","Odd",0,0
"181","Rosenborg","Haugesund",4,0
"182","Tromsø","Sandefjord Fotball",3,0
"183","Fredrikstad","Viking",3,2
"184","KFUM","Molde",1,1
"185","Molde","Tromsø",5,3
"186","Haugesund","Brann",0,1
"187","Sarpsborg 08","Fredrikstad",0,1
"188","Strømsgodset","HamKam",1,1
"189","Bodø/Glimt","Kristiansund",4,0
"190","Lillestrøm","Viking",1,4
"191","Odd","KFUM",1,3
"192","Sandefjord Fotball","Rosenborg",0,1
"193","Molde","Sandefjord Fotball",NA,NA
"194","Tromsø","Bodø/Glimt",NA,NA
"195","Rosenborg","Brann",NA,NA
"196","HamKam","Sarpsborg 08",NA,NA
"197","KFUM","Haugesund",NA,NA
"198","Kristiansund","Strømsgodset",NA,NA
"199","Viking","Odd",NA,NA
"200","Fredrikstad","Lillestrøm",NA,NA
"201","Strømsgodset","Fredrikstad",NA,NA
"202","HamKam","Kristiansund",NA,NA
"203","Haugesund","Molde",NA,NA
"204","Lillestrøm","Odd",NA,NA
"205","Sandefjord Fotball","KFUM",NA,NA
"206","Sarpsborg 08","Viking",NA,NA
"207","Brann","Tromsø",NA,NA
"208","Bodø/Glimt","Rosenborg",NA,NA
"209","Viking","Sandefjord Fotball",NA,NA
"210","Fredrikstad","Kristiansund",NA,NA
"211","KFUM","Sarpsborg 08",NA,NA
"212","Lillestrøm","Haugesund",NA,NA
"213","Molde","Bodø/Glimt",NA,NA
"214","Odd","Brann",NA,NA
"215","Tromsø","HamKam",NA,NA
"216","Rosenborg","Strømsgodset",NA,NA
"217","Brann","Lillestrøm",NA,NA
"218","HamKam","Rosenborg",NA,NA
"219","Haugesund","Tromsø",NA,NA
"220","Kristiansund","Viking",NA,NA
"221","Sandefjord Fotball","Odd",NA,NA
"222","Sarpsborg 08","Molde",NA,NA
"223","Strømsgodset","KFUM",NA,NA
"224","Bodø/Glimt","Fredrikstad",NA,NA
"225","Fredrikstad","HamKam",NA,NA
"226","KFUM","Kristiansund",NA,NA
"227","Lillestrøm","Sandefjord Fotball",NA,NA
"228","Molde","Brann",NA,NA
"229","Odd","Bodø/Glimt",NA,NA
"230","Rosenborg","Sarpsborg 08",NA,NA
"231","Tromsø","Strømsgodset",NA,NA
"232","Viking","Haugesund",NA,NA
"233","Bodø/Glimt","Lillestrøm",NA,NA
"234","Brann","Viking",NA,NA
"235","HamKam","KFUM",NA,NA
"236","Haugesund","Odd",NA,NA
"237","Kristiansund","Rosenborg",NA,NA
"238","Sandefjord Fotball","Fredrikstad",NA,NA
"239","Sarpsborg 08","Tromsø",NA,NA
"240","Strømsgodset","Molde",NA,NA
